cycle,ku_total,ku_active,ku_disputed,gu_total,gu_open,gu_resolved,evidence_rate,multi_evidence_rate,conflict_rate,avg_confidence,gap_resolution_rate,staleness_risk,mode,llm_calls,llm_tokens,search_calls,fetch_calls
2,34,34,0,52,28,24,1.0,0.8275862068965517,0.14705882352941177,0.8706896551724138,0.46153846153846156,2,jump,29,26768,18,12
3,40,40,0,52,22,30,1.0,0.8461538461538461,0.025,0.85,0.5769230769230769,11,jump,21,49727,18,12
4,45,45,0,52,17,35,1.0,0.8372093023255814,0.044444444444444446,0.8453488372093023,0.6730769230769231,15,jump,21,72442,15,10
5,50,50,0,62,22,40,1.0,0.8541666666666666,0.04,0.8369791666666666,0.6451612903225806,19,jump,22,94902,15,10
6,55,55,0,62,17,45,1.0,0.8679245283018868,0.03636363636363636,0.8232075471698114,0.7258064516129032,24,jump,37,120587,15,10
7,63,63,0,73,19,54,1.0,0.8666666666666667,0.047619047619047616,0.8184166666666666,0.7397260273972602,32,jump,35,158581,27,18
8,66,66,0,73,16,57,1.0,0.8769230769230769,0.015151515151515152,0.8108923076923077,0.7808219178082192,36,jump,19,174663,9,6
9,69,69,0,73,13,60,1.0,0.8805970149253731,0.028985507246376812,0.8131791044776119,0.821917808219178,38,jump,12,187859,9,6
10,74,74,0,81,16,65,1.0,0.8888888888888888,0.02702702702702703,0.8056666666666668,0.8024691358024691,43,jump,30,212606,15,10
11,77,77,0,81,13,68,1.0,0.8961038961038961,0.0,0.800025974025974,0.8395061728395061,48,jump,12,222961,9,6
